=== Project Charm :: Season (Pass 2: minimal season loop) ===
World: worlds\stock-d1.world.json (347 schools, 32 conferences)
Season seed: 20260720
Schedule fingerprint: 93d8c8532ddb937b88a514e2087765df3860f0f2a76e0360887f4d0108194c15
Schedule: 5205 games ΓÇö 16 conference + 14 non-conference per team, 15 home / 15 away, neutral floors (the road seam is 0).

Regenerating divvied rosters (world + seed; nothing persisted) and playing 5205 real engine games ...
  ... 500/5205 games played
  ... 1000/5205 games played
  ... 1500/5205 games played
  ... 2000/5205 games played
  ... 2500/5205 games played
  ... 3000/5205 games played
  ... 3500/5205 games played
  ... 4000/5205 games played
  ... 4500/5205 games played
  ... 5000/5205 games played

--- STANDINGS (all 347, ranked by W-L; ties broken by school id) ---
  rk   school                    conf       pres   W-L
  138  Hofstra (HFSTR)           CAA          56   17-13
  139  Holy Cross (HLYCR)        Patriot League   46   17-13
  140  Illinois-Chicago (ILCHI)  Horizon League   48   17-13
  141  Iowa State (IAST)         Big 12       65   17-13
  142  Lamar (LAMAR)             Southland    29   17-13
  143  Minnesota (MINN)          Big Ten      71   17-13
  144  Morehead State (MRHDS)    Ohio Valley   35   17-13
  145  Seton Hall (STNHL)        Big East     72   17-13
  146  St. Peter's (STPT)        MAAC         25   17-13
  147  Stephen F. Austin (SFA)   Southland    41   17-13
  148  Stony Brook (STBR)        America East   21   17-13
  149  Texas Tech (TXTC)         Big 12       72   17-13
  150  Texas-San Antonio (TXSA)  Southland    32   17-13
  151  UNC Greensboro (NCGN)     Southern     31   17-13
  152  West Virginia (WVU)       Big East     82   17-13
  153  Winthrop (WTHP)           Big South    47   17-13
  154  Wofford (WFFD)            Southern     33   17-13
  155  Yale (YALE)               Ivy League   33   17-13
  156  Central Florida (CFL)     Conference USA   49   16-14
  157  Chattanooga (CHATT)       Southern     44   16-14
  158  Colgate (COLG)            Patriot League   22   16-14
  159  Hampton (HAMPT)           MEAC         33   16-14
  160  Hartford (HRTFD)          America East   20   16-14
  161  Iowa (IOWA)               Big Ten      65   16-14
  162  Kansas (KS)               Big 12       97   16-14
  163  Kansas State (KS ST)      Big 12       72   16-14
  164  Lafayette (LFYTE)         Patriot League   27   16-14
  165  Marshall (MRSHL)          Conference USA   52   16-14
  166  McNeese State (MCNST)     Southland    25   16-14
  167  North Texas (NTHTX)       Sun Belt     41   16-14
  168  Portland (PORTL)          WCC          33   16-14
  169  Quinnipiac (QNNP)         Northeast    28   16-14
  170  Richmond (RICHM)          Atlantic 10   65   16-14
  171  Rutgers (RTGRS)           Big East     54   16-14
  172  Sam Houston State (SMHOU) Southland    53   16-14
  173  San Diego (SNDGO)         WCC          47   16-14
  174  Texas Christian (TCU)     Mountain West   49   16-14
  175  Troy (TYST)               Sun Belt     47   16-14
  176  UNC Wilmington (NCWM)     CAA          52   16-14
  177  Wake Forest (WAKE)        ACC          84   16-14
  178  Wright State (WRST)       Horizon League   58   16-14
  179  Boise State (BSST)        WAC          53   15-15
  180  Colorado (CO)             Big 12       58   15-15
  181  Drake (DRAKE)             MVC          50   15-15
  182  Eastern Washington (EWASH)Big Sky      34   15-15
  183  Florida A&M (FLAM)        MEAC         16   15-15
  184  Lipscomb (LPSCM)          Atlantic Sun   26   15-15
  185  Mercer (MRCR)             Atlantic Sun   25   15-15
  186  New Mexico State (NM ST)  WAC          60   15-15
  187  Northeastern (NTHES)      CAA          48   15-15
  188  Northern Arizona (NTHAZ)  Big Sky      35   15-15
  189  Northwestern (NW)         Big Ten      53   15-15
  190  Saint Louis (STL)         Atlantic 10   67   15-15
  191  San Francisco (SF)        WCC          38   15-15
  192  Siena (SIENA)             MAAC         64   15-15
  193  South Carolina State (SCST)MEAC         28   15-15
  194  Missouri State (SWMS)     MVC          65   15-15
  195  Tennessee (TENN)          SEC          89   15-15
  196  Tulane (TLNE)             Conference USA   40   15-15
  197  Western Carolina (WCA)    Southern     23   15-15
  198  Alcorn State (ALCST)      SWAC          9   14-16
  199  Brown (BROWN)             Ivy League   30   14-16
  200  Buffalo (BUFF)            MAC          40   14-16
  201  Cal State Northridge (CSNTH)Big West     44   14-16
  202  Cleveland State (CLST)    Horizon League   46   14-16
  203  Indiana State (IN ST)     MVC          50   14-16
  204  Jackson State (JKNST)     SWAC         24   14-16
  205  Louisiana Tech (LA TC)    WAC          49   14-16
  206  Maryland (MD)             ACC          88   14-16
  207  Missouri (MO)             Big 12       79   14-16
  208  Monmouth (MNMTH)          Northeast    27   14-16
  209  Montana State (MT ST)     Big Sky      28   14-16
  210  Southeastern Louisiana (SELA)Southland    29   14-16
  211  Southern (STHN)           SWAC         10   14-16
  212  UMKC (UMKC)               Summit       22   14-16
  213  UNC Asheville (NCAS)      Big South    29   14-16
  214  Wagner (WGNR)             Northeast    30   14-16
  215  William & Mary (WM)       CAA          35   14-16
  216  Houston Baptist (HBU)     Independent    4   14-16
  217  Ball State (BLST)         MAC          38   13-17
  218  Bethune-Cookman (BTHCK)   MEAC         12   13-17
  219  Cal State Fullerton (CSFTN)Big West     34   13-17
  220  Fairfield (FRFLD)         MAAC         50   13-17
  221  Fairleigh Dickinson (FADK)Northeast    23   13-17
  222  Georgetown (GTOWN)        Big East     85   13-17
  223  Navy (NAVY)               Patriot League   25   13-17
  224  North Carolina State (NC ST)ACC          75   13-17
  225  Oregon (OR)               Pacific-10   71   13-17
  226  Oregon State (OR ST)      Pacific-10   45   13-17
  227  Samford (SMFRD)           Southern     33   13-17
  228  Southern California (USC) Pacific-10   77   13-17
  229  Southern Mississippi (SMIS)Conference USA   55   13-17
  230  St. Francis-NY (SFNY)     Northeast    20   13-17
  231  Tennessee State (TNST)    Ohio Valley   20   13-17
  232  Texas-Pan American (TXPA) Independent   10   13-17
  233  Utah (UTAH)               Mountain West   76   13-17
  234  Florida Gulf Coast (FGC)  Atlantic Sun    7   13-17
  235  Albany (ALBNY)            America East   25   12-18
  236  Boston College (BSCOL)    ACC          77   12-18
  237  Bradley (BRDLY)           MVC          63   12-18
  238  Chicago State (CH ST)     Independent   17   12-18
  239  Eastern Illinois (EILL)   Ohio Valley   22   12-18
  240  Florida Atlantic (FLATL)  Sun Belt     23   12-18
  241  Fordham (FDHM)            Atlantic 10   34   12-18
  242  Gardner Webb (GRDWB)      Big South    24   12-18
  243  High Point (HHPT)         Big South    17   12-18
  244  Manhattan (MNHTN)         MAAC         44   12-18
  245  Miami-Ohio (MMIOH)        MAC          66   12-18
  246  Notre Dame (ND)           Big East     84   12-18
  247  Rice (RICE)               Conference USA   33   12-18
  248  Rider (RIDER)             MAAC         49   12-18
  249  San Jose State (SJ ST)    WAC          29   12-18
  250  South Carolina (SC)       SEC          73   12-18
  251  UL-Lafayette (ULLAF)      Sun Belt     47   12-18
  252  UMBC (UMBC)               America East   29   12-18
  253  Virginia (VA)             ACC          71   12-18
  254  Green Bay (GBAY)          Horizon League   52   12-18
  255  Longwood (LNG)            Independent    6   12-18
  256  NJIT (NJIT)               Independent    0   12-18
  257  Air Force (AF)            Mountain West   45   11-19
  258  Arkansas-Pine Bluff (ARPB)SWAC         11   11-19
  259  Columbia (COLUM)          Ivy League   18   11-19
  260  Loyola-IL (LYCHI)         Horizon League   39   11-19
  261  Mississippi Valley State (MSVST)SWAC         18   11-19
  262  Mount St. Mary's (MSMYS)  Northeast    28   11-19
  263  Nebraska (NEB)            Big 12       65   11-19
  264  Pepperdine (PPRDN)        WCC          39   11-19
  265  Sacred Heart (SACHT)      Northeast    22   11-19
  266  Santa Clara (STACL)       WCC          44   11-19
  267  UTEP (UTEP)               Conference USA   64   11-19
  268  Presbyterian (PRS)        Big South    11   11-19
  269  Northern Colorado (NCOL)  Big Sky      20   11-19
  270  Bucknell (BKNL)           Patriot League   35   10-20
  271  DePaul (DEPL)             Big East     58   10-20
  272  East Carolina (ESTCA)     Conference USA   30   10-20
  273  Eastern Kentucky (EKTKY)  Ohio Valley   31   10-20
  274  Fresno State (FRST)       WAC          55   10-20
  275  Idaho State (IDST)        Big Sky      23   10-20
  276  Illinois State (ILST)     MVC          62   10-20
  277  James Madison (JMMAD)     CAA          30   10-20
  278  Michigan State (MI ST)    Big Ten      94   10-20
  279  Montana (MT)              Big Sky      42   10-20
  280  Toledo (TLDO)             MAC          42   10-20
  281  Valparaiso (VLPO)         Horizon League   51   10-20
  282  UC Davis (UCD)            Big West     14   10-20
  283  Arizona State (AZST)      Pacific-10   70   9-21
  284  Auburn (AUBRN)            SEC          68   9-21
  285  Central Michigan (CMU)    MAC          30   9-21
  286  Coppin State (CPST)       MEAC         24   9-21
  287  Denver (DNVR)             Sun Belt     28   9-21
  288  IPFW (IPFW)               Summit       22   9-21
  289  La Salle (LASAL)          Atlantic 10   48   9-21
  290  Loyola Marymount (LYMNT)  WCC          24   9-21
  291  New Orleans (NEWOR)       Sun Belt     29   9-21
  292  Nicholls State (NICST)    Southland    16   9-21
  293  Northern Illinois (NTHIL) MAC          23   9-21
  294  Robert Morris (ROBMR)     Northeast    39   9-21
  295  VMI (VMI)                 Big South    14   9-21
  296  Cal State Bakersfield (CSBK)Independent    5   9-21
  297  Centenary (CNTRY)         Summit       11   8-22
  298  Florida International (FLINT)Sun Belt     20   8-22
  299  Idaho (ID)                WAC          26   8-22
  300  Jacksonville State (JKVST)Ohio Valley   16   8-22
  301  Liberty (LBRTY)           Big South    23   8-22
  302  Southern Utah (SUTH)      Summit       21   8-22
  303  Washington State (WAST)   Pacific-10   57   8-22
  304  Wyoming (WY)              Mountain West   55   8-22
  305  Arkansas State (ARST)     Sun Belt     31   7-23
  306  Elon (ELON)               Southern     20   7-23
  307  Maine (MAINE)             America East   29   7-23
  308  Marist (MRST)             MAAC         37   7-23
  309  Savannah State (SAVST)    Independent    9   7-23
  310  Stetson (STSN)            Atlantic Sun   18   7-23
  311  Texas A&M-CC (TXCC)       Southland    34   7-23
  312  Citadel (CIT)             Southern     18   7-23
  313  Towson (TWSN)             CAA          24   7-23
  314  North Carolina Central (NCC)Independent    3   7-23
  315  North Florida (NFL)       Atlantic Sun    6   7-23
  316  Cal Poly (CLPLY)          Big West     21   6-24
  317  Campbell (CPBL)           Atlantic Sun   14   6-24
  318  Charleston Southern (CHSTH)Big South     9   6-24
  319  Duquesne (DQSN)           Atlantic 10   45   6-24
  320  Eastern Michigan (EMICH)  MAC          21   6-24
  321  Grambling State (GRMBL)   SWAC          5   6-24
  322  Maryland-East Shore (MD ES)MEAC          2   6-24
  323  Southeast Missouri State (SEMS)Ohio Valley   16   6-24
  324  Texas State (SWTS)        Southland    17   6-24
  325  Texas Southern (TXSN)     SWAC         11   6-24
  326  UC Riverside (UCRV)       Big West     15   6-24
  327  Bryant University (BRY)   Northeast     2   6-24
  328  North Dakota (NDK)        Independent    0   6-24
  329  South Dakota State (SDST) Summit       12   6-24
  330  Dartmouth (DTMTH)         Ivy League    6   5-25
  331  Harvard (HRVRD)           Ivy League   29   5-25
  332  Louisiana-Monroe (LAMNR)  Sun Belt     23   5-25
  333  Loyola-Maryland (LY MD)   MAAC         26   5-25
  334  North Carolina A&T (NC AT)MEAC         13   5-25
  335  Prairie View A&M (PV AM)  SWAC          8   5-25
  336  Sacramento State (SACST)  Big Sky       8   5-25
  337  Winston-Salem (WS)        Independent    6   5-25
  338  USC Upstate (USCU)        Atlantic Sun    9   5-25
  339  SIU Edwardsville (SIUE)   Independent    4   5-25
  340  Furman (FRMN)             Southern     20   4-26
  341  Howard (HWRD)             MEAC          4   4-26
  342  Western Illinois (WIL)    Summit        8   4-26
  343  Central Arkansas (CNAR)   Southland     7   4-26
  344  New Hampshire (NH)        America East   16   3-27
  345  Youngstown State (YNGST)  Horizon League   21   3-27
  346  Army (ARMY)               Patriot League   13   2-28
  347  Long Island (LNGIS)       Northeast    19   2-28

--- PROOF TABLE (prestige buys access; does access buy wins?) ---
  prestige  0-19  avg wins   8.7   (n=54)
  prestige 20-39  avg wins  13.6   (n=105)
  prestige 40-59  avg wins  16.5   (n=82)
  prestige 60-79  avg wins  17.8   (n=64)
  prestige 80-99  avg wins  19.4   (n=42)

--- ESCAPES (top 10 by wins over band average; leaked top-decile talent named) ---
  Portland State (prestige 38, band 20-39): 28-2, +14.4 over band | leaks: G FloorGeneral (pool #456, rank 163.8, role PostScorer)
  Kennesaw State (prestige 8, band 0-19): 21-9, +12.3 over band | leaks: G FloorGeneral (pool #872, rank 161.2, role Connector); G FloorGeneral (pool #1661, rank 146.6, role Connector)
  Georgia State (prestige 37, band 20-39): 25-5, +11.4 over band | leaks: G FloorGeneral (pool #1243, rank 177.1, role Slasher)
  Seattle (prestige 38, band 20-39): 25-5, +11.4 over band | leaks: G PassFirstGuard (pool #286, rank 150.7, role Creator)
  UC Santa Barbara (prestige 49, band 40-59): 26-4, +9.5 over band | leaks: G FloorGeneral (pool #982, rank 160.9, role Connector)
  Alabama A&M (prestige 12, band 0-19): 18-12, +9.3 over band | leaks: G FloorGeneral (pool #902, rank 150.9, role Slasher)
  Norfolk State (prestige 15, band 0-19): 18-12, +9.3 over band | no top-decile players (overperformed without a leaked star)
  St. Francis-PA (prestige 11, band 0-19): 18-12, +9.3 over band | leaks: G FloorGeneral (pool #620, rank 156.0, role Connector)
  Niagara (prestige 59, band 40-59): 25-5, +8.5 over band | leaks: G PassFirstGuard (pool #1551, rank 166.3, role Shooter); G FloorGeneral (pool #697, rank 154.9, role Creator); G PerimeterShooter (pool #1151, rank 151.6, role Shooter); W ThreeAndDWing (pool #2631, rank 147.8, role Slasher)
  Jacksonville (prestige 36, band 20-39): 22-8, +8.4 over band | leaks: G PerimeterShooter (pool #734, rank 149.2, role Slasher); G PassFirstGuard (pool #1574, rank 145.5, role Slasher)

--- SANITY PULSE ---
  OT: 134 of 5205 games needed overtime (147 OT periods total); average total score 136.6

--- CALIBRATION READOUT (sim vs D1 decade blend 2015-16..2024-25, provisional; page-only, never asserted) ---
  line                        sim      target    band        verdict
  points                      68.3     72.0      +/-2.0      LOW
  FGA                         56.6     57.5      +/-5% rel   OK
  FG%                         42.6     44.0      +/-1.0      LOW
  3PA                         21.2     22.5      +/-5% rel   LOW
  3P%                         34.9     34.0      +/-1.0      OK
  FTA                         18.1     19.5      +/-5% rel   LOW
  FT%                         70.0     71.0      +/-1.0      OK
  rebounds (credited)         31.5     34.5      +/-5% rel   LOW
  - offensive                 9.2      9.5       +/-5% rel   OK
  ORB%                        29.2     28.5      +/-1.5      OK
    note: 'rebounds (credited)' excludes uncredited team rebounds the public 34.5 includes;
          this instrument does not yet fully measure them (credited gap ~3.0/team/game).
    candidate dead-ball possession endings (NOT reconciled to rebounds; page-only diagnostic):
      OutOfBoundsOffOffense 1.00 | jump-ball arrows 1.44 | LooseBallFoulOnOffense 0.38 | MissOutOfBoundsLost 1.09 | sum 3.91
  assists                     9.8      13.5      +/-5% rel   LOW
  turnovers                   15.7     12.5      +/-5% rel   HIGH
  TO% of possessions          22.2     18.5      +/-1.5      HIGH
  steals                      7.4      6.2       +/-5% rel   HIGH
  blocks                      4.3      3.5       +/-5% rel   HIGH
    block location: near the rim 89.7% / out 10.3%   (Rim+Short vs Mid+Long+Three; 44821 credited blocks)
    credited to a HELPER ΓÇö near the rim 63.8% / out 22.0%   (pre-S79 ~80% at every zone: the picker ignored who was matched)
  pace (poss/team, OT incl.)  70.9     69.0      +/-5% rel   OK
  3PA rate (3PA/FGA)          0.37     0.39      +/-5% rel   OK
  FT rate (FTA/FGA)           0.32     0.34      +/-5% rel   LOW
  OT games                    2.6      6.0       4-8%        LOW
  per-zone FG% (sim vs Session 50 anchors; page-only, never asserted):
    rim FG%                   51.9     61.0      +/-1.0      LOW
    short FG%                 37.9     43.0      +/-1.0      LOW
    mid FG%                   40.4     39.0      +/-1.0      HIGH
    long FG%                  34.1     36.0      +/-1.0      LOW
    three FG%                 34.9     34.0      +/-1.0      OK
    zone FGA mix: rim 245578 / short 31862 / mid 54509 / long 37008 / three 220296  (sum 589253 vs FGA 589253)
    fast-break shot diet: FGA 94055 (16.0% of all FGA)  3PA-rate 36.2%  3P% 36.3%
  seconds per possession by ending (NoShot/HoldShootLast excluded):
    made 18.6s (n=226743) | FT trip 18.8s | miss->DREB 18.5s | miss OOB 18.4s
    turnover 11.3s (n=161605)  [fixed-time violations 15.7s (n=10287)]  | other n=29340
    turnover by court ΓÇö backcourt applied 5.1s raw 5.1s (n=80284)  |  frontcourt applied 17.6s raw 17.6s (n=71034)
  OTHER itemized (per label; page-only, classifies nothing):
    OutOfBoundsOffOffense        n=   10391   35.4% of OTHER  mean 18.7s
    JumpBallArrow:Home           n=    7516   25.6% of OTHER  mean 18.2s
    JumpBallArrow:Away           n=    7461   25.4% of OTHER  mean 18.3s
    LooseBallFoulOnOffense       n=    3972   13.5% of OTHER  mean 18.6s
  jump-ball award vs the possession's offense (held ball can retain offense):
    tip:   offense retained n=0 (mean 0.0s) | defense awarded n=0 (mean 0.0s)
    arrow: offense retained n=7379 (mean 18.4s) | defense awarded n=7598 (mean 18.2s)

--- ROTATION DEPTH (Session 76; page-only, never asserted) ---
  minutes by realized rotation rank (mean over 10410 team-games, 141.8 records/team-game):
     1: 31.8   2: 29.8   3: 27.9   4: 25.9   5: 23.9   6: 20.0   7: 16.1
     8: 12.1   9:  8.2  10:  4.2  11:  0.1  12:  0.0  13:  0.0
  top-5 share of floor time: 69.7 %   (S75 measured ~88 % ΓÇö the concentration this session set out to break)
  men used per team-game: 12 of 13 roster slots see floor time at some rank

--- CROSS-POSITION OCCUPANCY (Session 75; page-only, never asserted) ---
  floor time outside stored position: 24.46 % of 7382490 player-possession credits
  credit identity: 7382490 credits / 738249 records = 10.0 (expect 10.0); dropped 0
  by transition (share of all floor time; mean occupant height vs the seat's own starter):
    G->G   49.79 %   occupant  50.6  seat-starter  50.8  gap   -0.2
    G->W*   4.26 %   occupant  49.9  seat-starter  60.4  gap  -10.5
    W->G*   8.71 %   occupant  60.5  seat-starter  50.8  gap    9.7
    W->W   10.98 %   occupant  60.4  seat-starter  60.5  gap   -0.0
    W->B*   5.81 %   occupant  60.4  seat-starter  71.2  gap  -10.7
    B->W*   5.68 %   occupant  70.9  seat-starter  60.4  gap   10.5
    B->B   14.77 %   occupant  71.1  seat-starter  71.2  gap   -0.1
    (* = cross-position. Height is the signal that motivated the ladder, NOT a
     sufficient test of whether out-of-position play is priced ΓÇö see A11.)

--- BASELINE LINES (Session 63; page-only, never asserted) ---
  PPP (points / possession records)      0.9631
  fouls/team/game (full game)            17.93   [shooting 6.27 | non-shooting 11.66]
  usage spread (n=4511 player-seasons): max 38.0%  p90 17.8%  median 6.2%  min 0.0%

--- ROSTER CENSUS (Session 63; page-only) ---
  players drafted 4511 of pool 4511 (distinct 4511; undrafted 0)
  rosters exactly 5G/4W/4B: 347/347   protected roles covered: 347/347
  opening-five shapes (S75 evidence; lineup selection is UNCHANGED ΓÇö see A9):
    3G/1W/1B   321 schools
    2G/2W/1B    16 schools
    2G/1W/2B    10 schools
--- S78 BODY-BAND CENSUS, ROSTERED (stage 2 of the ladder; CURRENT ratings; page-only) ---
  band           n   RimPro  PostDe  Offens  Defens  BallHa  Outsid  Basket  Discip  HelpDe
  5'8-5'9      381     28.4    27.3    23.9    24.1    35.9    48.5    52.9    53.3    52.5
  5'10-5'11    476     31.6    31.7    26.6    25.6    33.8    47.5    53.5    53.2    54.0
  6'0-6'1      867     33.0    32.7    29.0    29.2    29.1    40.5    54.2    53.6    53.4
  6'2-6'5     1452     36.2    36.7    31.4    31.1    24.3    34.0    53.5    53.3    53.2
  6'6-6'7      647     36.9    37.6    31.9    31.1    21.6    27.9    52.6    52.9    52.9
  6'8-6'9      604     37.6    38.0    31.1    32.0    19.6    23.5    54.3    54.5    53.9
  6'10-7'0      77     38.4    38.0    32.6    32.3    16.7    19.5    54.0    54.1    55.7
  7'1+           7     25.9    29.6    32.0    29.9    20.1    22.6    55.9    59.0    54.1
