 347 
ID,Name,Mascot,Prestige,Abbr,Logo,City,State,Conference,Division,TeamColor,TravelPart,Rival,PlaceId,Academics
117,Indiana State,,50,IN ST,indianastate,Terre Haute,IN,20,1,#00669A,0,,106,1
118,Iona,,44,IONA ,iona,New Rochelle,NY,16,1,#8C001A,0,,107,1
119,Iowa,,65,IOWA ,iowa,Iowa City,IA,9,1,#232323,0,,108,1
120,Iowa State,,65,IAST ,iowastate,Ames,IA,5,1,#BA0A2B,0,,109,1
121,IPFW,,22,IPFW ,ipfw,Fort Wayne,IN,17,1,#00378A,196,,110,1
122,IUPUI,,45,IUPUI,indianapurdue,Indianapolis,IN,17,1,#CA3A44,312,,33,1
123,Jackson State,,24,JKNST,jacksonstate,Jackson,MS,29,1,#123297,101,,111,1
124,Jacksonville,,36,JK   ,jacksonville,Jacksonville,FL,4,1,#008568,0,,112,1
125,Jacksonville State,,16,JKVST,jacksonvillestate,Jacksonville,AL,23,1,#C61018,266,,113,1
126,James Madison,,30,JMMAD,jamesmadison,Harrisonburg,VA,11,1,#450084,0,,114,1
127,Kansas,,97,KS   ,kansas,Lawrence,KS,5,1,#0337B4,0,,115,1
128,Kansas State,,72,KS ST,kansasstate,Manhattan,KS,5,1,#633194,0,,116,1
129,Kent State,,76,KNTST,kentstate,Kent,OH,18,1,#212142,0,,117,1
130,Kentucky,,91,KY   ,kentucky,Lexington,KY,26,1,#015DAB,0,,118,1
131,La Salle,,48,LASAL,lasalle,Philadelphia,PA,2,1,#000063,0,,68,1
132,Lafayette,,27,LFYTE,lafayette,Easton,PA,25,1,#8C2633,0,,119,1
133,Lamar,,29,LAMAR,lamar,Beaumont,TX,28,2,#EB0E19,0,,120,1
134,Lehigh,,26,LEHGH,lehigh,Bethlehem,PA,25,1,#884818,0,,121,1
135,Liberty,,23,LBRTY,liberty,Lynchburg,VA,8,1,#000073,304,,122,1
136,Lipscomb,,26,LPSCM,lipscomb,Nashville,TN,4,1,#331165,0,,21,1
137,Long Beach State,,36,LB ST,longbeachstate,Long Beach,CA,10,1,#232323,0,,123,1
138,Long Island,,19,LNGIS,longisland,Brookville,NY,22,1,#02183E,0,,124,1
139,Louisiana State,,71,LA ST,louisianastate,Baton Rouge,LA,26,2,#4E1E8A,0,,125,1
140,Louisiana Tech,,49,LA TC,louisianatech,Ruston,LA,32,1,#3129E7,0,,126,1
141,Louisiana-Monroe,,23,LAMNR,louisianamonroe,Monroe,LA,30,2,#800000,0,,127,1
142,Louisville,,88,LSVLE,louisville,Louisville,KY,6,1,#DE0018,0,,128,1
143,Loyola-IL,,39,LYCHI,loyolachicago,Chicago,IL,14,1,#9D1244,115,,47,1
144,Loyola-Maryland,,26,LY MD,loyolamaryland,Baltimore,MD,16,1,#3F8379,0,,57,1
145,Loyola Marymount,,24,LYMNT,loyolamarymount,Los Angeles,CA,31,1,#880029,208,,129,1
146,Maine,,29,MAINE,maine,Orono,ME,1,1,#0099CC,0,,130,1
147,Manhattan,,44,MNHTN,manhattan,Riverdale,NY,16,1,#4F8537,0,,131,1
148,Marist,,37,MRST ,marist,Poughkeepsie,NY,16,1,#E53730,0,,132,1
149,Marquette,,84,MRQT ,marquette,Milwaukee,WI,6,1,#083963,0,,133,1
150,Marshall,,52,MRSHL,marshall,Huntington,WV,12,1,#186329,0,,134,1
151,Maryland,,88,MD   ,maryland,College Park,MD,3,1,#D60039,0,,135,1
152,Maryland-East Shore,,2,MD ES,marylandeastshore,Princess Anne,MD,19,1,#822433,0,,136,1
153,Massachusetts,,61,UMASS,massachusetts,Amherst,MA,2,1,#AC0D1E,0,,137,1
154,McNeese State,,25,MCNST,mcneesestate,Lake Charles,LA,28,1,#004E7F,0,,138,1
155,Memphis,,87,MMPHS,memphis,Memphis,TN,12,1,#29299C,0,,139,1
156,Mercer,,25,MRCR ,mercer,Macon,GA,4,1,#FF7F29,0,,140,1
157,Miami,,74,MIAMI,miami,Coral Gables,FL,3,1,#004325,0,,141,1
158,Miami-Ohio,,66,MMIOH,miamiohio,Oxford,OH,18,1,#CE2229,0,,142,1
159,Michigan,,68,MICH ,michigan,Ann Arbor,MI,9,1,#292942,0,,143,1
160,Michigan State,,94,MI ST,michiganstate,East Lansing,MI,9,1,#265142,0,,144,1
161,Middle Tennessee,,47,MTNST,middletennesseestate,Murfreesboro,TN,30,1,#0066A4,0,,145,1
162,Minnesota,,71,MINN ,minnesota,Minneapolis,MN,9,1,#752132,0,,146,1
163,Mississippi,,76,MS   ,mississippi,Oxford,MS,26,2,#101894,0,,147,1
164,Mississippi State,,83,MS ST,mississippistate,Starkville,MS,26,2,#531122,0,,148,1
165,Mississippi Valley State,,18,MSVST,mississippivalleystate,Itta Bena,MS,29,1,#054105,15,,149,1
166,Missouri,,79,MO   ,missouri,Columbia,MO,5,1,#232323,0,,150,1
167,Monmouth,,27,MNMTH,monmouth,West Long Branch,NJ,22,1,#0D217B,0,,151,1
168,Montana,,42,MT   ,montana,Missoula,MT,7,1,#63104A,0,,152,1
169,Montana State,,28,MT ST,montanastate,Bozeman,MT,7,1,#013D7D,0,,153,1
170,Morehead State,,35,MRHDS,moreheadstate,Morehead,KY,23,1,#29109C,77,,154,1
171,Morgan State,,27,MGNST,morganstate,Baltimore,MD,19,1,#00337F,0,,57,1
172,Savannah State,,9,SAVST,savannahstate,Savannah,GA,13,1,#001558,0,,155,1
173,Mount St. Mary's,,28,MSMYS,mtsaintmarys,Emmitsburg,MD,22,1,#003F87,0,,156,1
174,Murray State,,57,MRYST,murraystate,Murray,KY,23,1,#182356,267,,157,1
175,Navy,,25,NAVY ,navy,Annapolis,MD,25,1,#0F1021,0,,158,1
176,Nebraska,,65,NEB  ,nebraska,Lincoln,NE,5,1,#FE0D04,0,,159,1
177,Nevada,,70,NV   ,nevada,Reno,NV,32,1,#084A73,0,,160,1
178,New Hampshire,,16,NH   ,newhampshire,Durham,NH,1,1,#004371,0,,161,1
179,New Mexico,,71,NM   ,newmexico,Albuquerque,NM,21,1,#C41E3A,0,,162,1
180,New Mexico State,,60,NM ST,newmexicostate,Las Cruces,NM,32,1,#730000,0,,163,1
181,New Orleans,,29,NEWOR,neworleans,New Orleans,LA,30,2,#1A275B,0,,164,1
182,Niagara,,59,NIAGA,niagara,Lewiston,NY,16,1,#4F2170,0,,165,1
183,Nicholls State,,16,NICST,nichollsstate,Thibodaux,LA,28,1,#AF1E2D,0,,166,1
184,Norfolk State,,15,NRFST,norfolkstate,Norfolk,VA,19,1,#08614F,0,,167,1
185,North Carolina,,90,NC   ,northcarolina,Chapel Hill,NC,3,1,#5FB1E0,0,,168,1
186,North Carolina A&T,,13,NC AT,northcarolinaat,Greensboro,NC,19,1,#002659,0,,169,1
187,North Carolina State,,75,NC ST,northcarolinastate,Raleigh,NC,3,1,#D4212C,0,,170,1
188,North Texas,,41,NTHTX,northtexas,Denton,TX,30,2,#006342,0,,171,1
189,Northeastern,,48,NTHES,northeastern,Boston,MA,11,1,#D72D35,0,,27,1
190,Northern Arizona,,35,NTHAZ,northernarizona,Flagstaff,AZ,7,1,#001894,0,,172,1
191,Northern Illinois,,23,NTHIL,northernillinois,DeKalb,IL,18,2,#E73139,0,,173,1
192,Northern Iowa,,66,NTHIA,northerniowa,Cedar Falls,IA,20,1,#4A015B,0,,174,1
193,Northwestern,,53,NW   ,northwestern,Evanston,IL,9,1,#372286,0,,175,1
194,Northwestern State,,28,NW ST,northwesternstate,Natchitoches,LA,28,1,#4A2F8E,0,,176,1
195,Notre Dame,,84,ND   ,notredame,South Bend,IN,6,1,#002157,0,,177,1
196,Oakland,,48,OAK  ,oakland,Rochester,MI,17,1,#04091C,121,,178,1
197,Ohio,,60,OHIO ,ohio,Athens,OH,18,1,#006342,0,,179,1
198,Ohio State,,88,OH ST,ohiostate,Columbus,OH,9,1,#DE3129,0,,180,1
199,Oklahoma,,87,OK   ,oklahoma,Norman,OK,5,2,#7B0000,0,,181,1
200,Oklahoma State,,87,OK ST,oklahomastate,Stillwater,OK,5,2,#FF7300,0,,182,1
201,Old Dominion,,64,OLDDM,olddominion,Norfolk,VA,11,1,#00507D,0,,167,1
202,Oral Roberts,,54,ORLRB,oralroberts,Tulsa,OK,17,1,#002955,41,,183,1
203,Oregon,,71,OR   ,oregon,Eugene,OR,24,1,#044520,204,,184,1
204,Oregon State,,45,OR ST,oregonstate,Corvallis,OR,24,1,#D85A1A,203,,185,1
205,Pacific,,53,PCFC ,pacific,Stockton,CA,10,1,#FF5109,0,,186,1
206,Penn State,,54,PA ST,pennstate,State College,PA,9,1,#002654,0,,187,1
207,Pennsylvania,,44,PA   ,pennsylvania,Philadelphia,PA,15,1,#96203D,213,,68,1
208,Pepperdine,,39,PPRDN,pepperdine,Malibu,CA,31,1,#2B6396,145,,188,1
209,Pittsburgh,,92,PITT ,pittsburgh,Pittsburgh,PA,6,1,#313169,0,,70,1
210,Portland,,33,PORTL,portland,Portland,OR,31,1,#25205E,100,,189,1
211,Portland State,,38,PTLST,portlandstate,Portland,OR,7,1,#005E60,0,,189,1
212,Prairie View A&M,,8,PV AM,prairieviewam,Prairie View,TX,29,1,#4D0960,271,,190,1
213,Princeton,,38,PRNC ,princeton,Princeton,NJ,15,1,#F96302,207,,191,1
214,Providence,,69,PRVD ,providence,Providence,RI,6,1,#6C6468,0,,30,1
215,Purdue,,80,PRDUE,purdue,West Lafayette,IN,9,1,#211818,0,,192,1
216,Quinnipiac,,28,QNNP ,quinnipiac,Hamden,CT,22,1,#051D45,0,,193,1
217,Radford,,28,RDFD ,radford,Radford,VA,8,1,#BD1818,106,,194,1
218,Rhode Island,,59,RI   ,rhodeisland,Kingston,RI,2,1,#003559,0,,195,1
219,Rice,,33,RICE ,rice,Houston,TX,12,1,#00315A,0,,100,1
220,Richmond,,65,RICHM,richmond,Richmond,VA,2,1,#004371,0,,196,1
221,Rider,,49,RIDER,rider,Lawrenceville,NJ,16,1,#C82223,0,,197,1
222,Robert Morris,,39,ROBMR,robertmorris,Pittsburgh,PA,22,1,#3D4262,0,,70,1
223,Rutgers,,54,RTGRS,rutgers,New Brunswick,NJ,6,1,#FF3B2F,0,,198,1
224,Sacramento State,,8,SACST,sacramentostate,Sacramento,CA,7,1,#145F52,0,,199,1
225,Sacred Heart,,22,SACHT,sacredheart,Fairfield,CT,22,1,#BB003A,0,,79,1
226,Saint Louis,,67,STL  ,saintlouis,St. Louis,MO,2,1,#00428C,0,,200,1
227,Saint Mary's,,59,STMRY,saintmarys,Moraga,CA,31,1,#D80024,230,,201,1
228,Sam Houston State,,53,SMHOU,samhouston,Huntsville,TX,28,2,#011F9D,0,,202,1
229,Samford,,33,SMFRD,samford,Birmingham,AL,27,1,#00295C,0,,203,1
230,San Diego,,47,SNDGO,sandiego,San Diego,CA,31,1,#002868,227,,204,1
231,San Diego State,,70,SDGST,sandiegostate,San Diego,CA,21,1,#A81933,0,,204,1
232,San Francisco,,38,SF   ,sanfrancisco,San Francisco,CA,31,1,#006633,234,,205,1
233,San Jose State,,29,SJ ST,sanjosestate,San Jose,CA,32,1,#005A94,0,,206,1
234,Santa Clara,,44,STACL,santaclara,Santa Clara,CA,31,1,#690B0B,232,,207,1
235,Seton Hall,,72,STNHL,setonhall,South Orange,NJ,6,1,#3142AD,0,,208,1
236,Siena,,64,SIENA,siena,Albany,NY,16,1,#006953,0,,6,1
237,South Alabama,,51,STAL ,southalabama,Mobile,AL,30,1,#004A7B,0,,209,1
238,South Carolina,,73,SC   ,southcarolina,Columbia,SC,26,1,#98012D,0,,210,1
239,South Carolina State,,28,SCST ,southcarolinastate,Orangeburg,SC,19,1,#8C2633,0,,211,1
240,South Florida,,52,STFL ,southflorida,Tampa,FL,6,1,#004231,0,,212,1
241,Southeastern Louisiana,,29,SELA ,southeasternlouisiana,Hammond,LA,28,1,#205228,0,,213,1
242,Southeast Missouri State,,16,SEMS ,southeastmissouristate,Cape Girardeau,MO,23,1,#CE1126,76,,214,1
243,Southern California,,77,USC  ,southerncalifornia,Los Angeles,CA,24,1,#A50010,286,,129,1
244,Southern Illinois,,75,SNIL ,southernillinois,Carbondale,IL,20,1,#85283D,0,,215,1
245,Southern Methodist,,40,SMU  ,southernmethodist,Dallas,TX,12,1,#E73139,0,,216,1
246,Southern Mississippi,,55,SMIS ,southernmississippi,Hattiesburg,MS,12,1,#FFBD24,0,,217,1
247,Southern,,10,STHN ,southern,Baton Rouge,LA,29,1,#291B4C,7,,125,1
248,Southern Utah,,21,SUTH ,southernutah,Cedar City,UT,17,1,#D10000,289,,218,1
249,Missouri State,,65,SWMS ,missouristate,Springfield,MO,20,1,#50011A,0,,219,1
250,Texas State,,17,SWTS ,texasstate,San Marcos,TX,28,2,#570318,0,,220,1
251,St. Bonaventure,,41,STBN ,stbonaventure,St. Bonaventure,NY,2,1,#712A1B,0,,221,1
252,St. Francis-NY,,20,SFNY ,stfrancisny,Brooklyn Heights,NY,22,1,#032845,0,,222,1
253,St. Francis-PA,,11,SFPA ,stfrancispa,Loretto,PA,22,1,#A20012,0,,223,1
254,St. John's,,65,STJN ,stjohns,New York,NY,6,1,#E24552,0,,55,1
255,Saint Joseph's,,75,STJOE,stjosephs,Philadelphia,PA,2,1,#BB003A,0,,68,1
256,St. Peter's,,25,STPT ,stpeters,Jersey City,NJ,16,1,#2361AA,0,,224,1
257,Stanford,,81,STAN ,stanford,Stanford,CA,24,1,#B72931,38,,225,1
258,Stephen F. Austin,,41,SFA  ,stephenfaustin,Nacogdoches,TX,28,1,#230D3C,0,,226,1
259,Stetson,,18,STSN ,stetson,De Land,FL,4,1,#18581C,0,,227,1
260,Stony Brook,,21,STBR ,stonybrook,Stony Brook,NY,1,1,#003559,0,,228,1
261,Syracuse,,92,SYR  ,syracuse,Syracuse,NY,6,1,#FF6318,0,,229,1
262,Texas Christian,,49,TCU  ,tcu,Fort Worth,TX,21,1,#4D1979,0,,230,1
263,Temple,,81,TMPL ,temple,Philadelphia,PA,2,1,#BC0138,0,,68,1
264,Tennessee,,89,TENN ,tennessee,Knoxville,TN,26,1,#EE9627,0,,231,1
265,Tennessee State,,20,TNST ,tennesseestate,Nashville,TN,23,1,#21398C,18,,21,1
266,Tennessee Tech,,39,TNTC ,tennesseetech,Cookeville,TN,23,1,#440E62,125,,232,1
267,Tennessee-Martin,,23,TNMN ,tennesseemartin,Martin,TN,23,1,#000099,174,,233,1
268,Texas,,94,TX   ,texas,Austin,TX,5,2,#EF7321,0,,234,1
269,Texas A&M,,72,TXAM ,texasam,College Station,TX,5,2,#500000,0,,235,1
270,Texas A&M-CC,,34,TXCC ,texasamcorpuschristi,Corpus Christi,TX,28,2,#00639C,0,,236,1
271,Texas Southern,,11,TXSN ,texassouthern,Houston,TX,29,1,#680100,212,,100,1
272,Texas Tech,,72,TXTC ,texastech,Lubbock,TX,5,2,#D60039,0,,237,1
273,Texas-Arlington,,33,TXAR ,texasarlington,Arlington,TX,28,2,#004B7C,0,,238,1
274,Texas-Pan American,,10,TXPA ,texaspanamerican,Edinburg,TX,13,1,#DC6000,0,,239,1
275,Texas-San Antonio,,32,TXSA ,texassanantonio,San Antonio,TX,28,2,#113B7D,0,,240,1
276,Citadel,,18,CIT  ,thecitadel,Charleston,SC,27,2,#0000FF,0,,44,1
277,Toledo,,42,TLDO ,toledo,Toledo,OH,18,2,#00275D,0,,241,1
278,Towson,,24,TWSN ,towson,Towson,MD,11,1,#F3AE22,0,,242,1
279,Troy,,47,TYST ,troy,Troy,AL,30,1,#A80532,0,,243,1
280,Tulane,,40,TLNE ,tulane,New Orleans,LA,12,1,#084A38,0,,164,1
281,Tulsa,,70,TLSA ,tulsa,Tulsa,OK,12,1,#004273,0,,183,1
282,UAB,,77,UAB  ,uab,Birmingham,AL,12,1,#006117,0,,203,1
283,UC Irvine,,40,UCIR ,ucirvine,Irvine,CA,10,1,#00108C,0,,244,1
284,UC Riverside,,15,UCRV ,ucriverside,Riverside,CA,10,1,#13214E,0,,245,1
285,UC Santa Barbara,,49,UCSB ,ucsantabarbara,Santa Barbara,CA,10,1,#0439A7,0,,246,1
286,UCLA,,84,UCLA ,ucla,Los Angeles,CA,24,1,#005A94,243,,129,1
287,UL-Lafayette,,47,ULLAF,louisianalafayette,Lafayette,LA,30,2,#CE2842,0,,247,1
288,UMBC,,29,UMBC ,umbc,Baltimore,MD,1,1,#232323,0,,57,1
289,UMKC,,22,UMKC ,umkc,Kansas City,MO,17,1,#004A8B,248,,248,1
290,UNC Asheville,,29,NCAS ,uncasheville,Asheville,NC,8,1,#092575,92,,249,1
291,UNC Greensboro,,31,NCGN ,uncgreensboro,Greensboro,NC,27,1,#21467B,0,,169,1
292,UNC Wilmington,,52,NCWM ,uncwilmington,Wilmington,NC,11,1,#1D2F68,0,,250,1
293,UNLV,,80,UNLV ,unlv,Las Vegas,NV,21,1,#E73139,0,,251,1
